"","roster.No.","roster.Player","roster.Pos","roster.Ht","roster.Wt","roster.Birth.Date","roster..","roster.Exp","roster.College"
"1","19","Leandro Barbosa","SG","6-3","194","November 28, 1982","br","13",""
"2","35","Dragan Bender","PF","7-1","225","November 17, 1997","ba","R",""
"3","2","Eric Bledsoe","PG","6-1","205","December 9, 1989","us","6","University of Kentucky"
"4","1","Devin Booker","SG","6-6","210","October 30, 1996","us","1","University of Kentucky"
"5","4","Tyson Chandler","C","7-1","240","October 2, 1982","us","15",""
"6","0","Marquese Chriss","PF","6-10","240","July 2, 1997","us","R","University of Washington"
"7","3","Jared Dudley","PF","6-7","237","July 10, 1985","us","9","Boston College"
"8","31","Jarell Eddie","SF","6-7","218","October 30, 1991","us","1","Virginia Polytechnic Institute and State University"
"9","23","John Jenkins","SG","6-4","215","March 6, 1991","us","4","Vanderbilt University"
"10","10","Derrick Jones","SF","6-7","200","February 15, 1997","us","R","University of Nevada, Las Vegas"
"11","11","Brandon Knight","SG","6-3","195","December 2, 1991","us","5","University of Kentucky"
"12","21","Alex Len","C","7-1","250","June 16, 1993","ua","3","University of Maryland"
"13","22","Elijah Millsap","SG","6-6","225","August 12, 1987","us","2","University of Louisiana at Lafayette, University of Alabama at Birmingham"
"14","14","Ronnie Price","PG","6-2","190","June 21, 1983","us","11","Nicholls State University, Utah Valley State College"
"15","17","P.J. Tucker","SF","6-6","245","May 5, 1985","us","5","University of Texas at Austin"
"16","8","Tyler Ulis","PG","5-10","160","January 5, 1996","us","R","University of Kentucky"
"17","12","T.J. Warren","SF","6-8","215","September 5, 1993","us","2","North Carolina State University"
"18","15","Alan Williams","C","6-8","265","January 28, 1993","us","1","University of California, Santa Barbara"
